gene_id,gene_symbol,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,logFC,adj_pval,hub_score
219105_x_at,ORC6,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875975,3.32137572448592,1.81430847443711e-18,1.2153990666168308
204023_at,RFC4,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,2.91677231890808,2.31143272138738e-23,1.2153990666168304
205339_at,STIL,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,3.8738417580798,3.2873829174365797e-22,1.2153990666168304
219787_s_at,ECT2,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,4.21117864587999,1.25045605698871e-22,1.2153990666168304
204127_at,RFC3,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,2.47232376230901,1.7692570826778102e-20,1.2153990666168304
225686_at,SKA2,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,2.09955398307737,4.9145973475812805e-21,1.2153990666168304
205176_s_at,ITGB3BP,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,2.54952115259686,1.9740610147766998e-19,1.2153990666168304
218875_s_at,FBXO5,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,3.73210276824465,4.19380345486175e-21,1.2153990666168304
213647_at,DNA2,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,2.4475358043087,3.93533738660562e-19,1.2153990666168304
204146_at,RAD51AP1,199,0.9993558237604189,1.7896678673984074,1.1681819368208999,0.9043906384875958,4.68265293950759,1.9740610147766998e-19,1.2153990666168304
223257_at,G2E3,198,0.9537855627590315,1.7389355445788919,1.104382826490762,0.8599947527966831,2.23838736376593,7.07499762904887e-18,1.1642746716563421
218979_at,RMI1,198,0.9537855627590315,1.7196594412571078,1.104382826490762,0.8617810498229546,2.27992973944005,7.61577179215979e-20,1.159902220082464
218662_s_at,NCAPG,198,0.9537855627590315,1.599119717439095,1.104382826490762,0.8743538593049143,3.37499138414462,1.0959043056193399e-18,1.1329104914984507
209172_s_at,CENPF,198,0.9537855627590315,1.5576399305968465,1.104382826490762,0.8770804202603368,3.84408149407568,1.20027913237138e-19,1.1232221850267443
234672_s_at,NDC1,198,0.9537855627590315,1.5562020337557887,1.104382826490762,0.8769125082349855,1.95265675713334,5.67600386898473e-18,1.122820732810142
202690_s_at,SNRPD1,198,0.9537855627590315,1.5562020337557887,1.104382826490762,0.8769125082349855,2.35962531352743,1.32657328227596e-20,1.122820732810142
218757_s_at,UPF3B,198,0.9537855627590315,1.5399717603467582,1.104382826490762,0.8775801873489486,2.29736436837247,3.34243878956036e-19,1.1189300842363752
203362_s_at,MAD2L1,198,0.9537855627590315,1.5177373088383102,1.104382826490762,0.8791578191908536,3.97586600734079,1.06755316283414e-18,1.1137658793197391
203209_at,RFC5,198,0.9537855627590315,1.5177373088383102,1.104382826490762,0.8791578191908536,2.18115762442307,2.8433720794295098e-18,1.1137658793197391
209523_at,TAF2,198,0.9537855627590315,1.506977543125716,1.104382826490762,0.8796879857575578,1.80682288560223,2.8433720794295098e-18,1.1112084795332668
